2012,3205,תמיכות במוצרים ציבוריים,225925,2503,2013,"""003250""",תמיכות בחקלאות,940496,,,
2012,3206,תמיכות במחירי המים,164770,-18340,2013,"""003251""",תמיכות לפי חוק צער,4965,,,
2012,3208,תמיכות בתחבורה,3282977,3799029,2013,"""003252""",רזרבה להתייקרויות,541838,,,
2012,3210,הוצאות משק הדלק,154391,127569,2013,"""003260""",פיתוח תשתיות,0,,,
2012,3312,פיצוי לאסונות טבע,13,9894,2013,"""003301""",הוצאות שוטפות לפעילות,286660,,,
2012,3321,תחום פעולה כללי,94951,112358,2013,"""003302""",מנהל המחקר החקלאי,213349,,,
2012,3322,פעולות לחקלאים,96848,126236,2013,"""003303""",רזרבות,18736,,,
2012,3323,שירות ההדרכה והמקצוע,42401,43103,,,,,,,
2012,3324,מינהל המחקר החקלאי,168516,190260,,,,,,,
2012,3325,שיתופי פעולה בין,6274,3885,,,,,,,
2012,3326,הסדרים למגזר החקלאי,8794,4834,,,,,,,
2012,3327,מענקי השקעות,137569,84286,,,,,,,
2012,3328,חטיבה להתיישבות,60299,272531,,,,,,,
2012,3329,עתודה,0,0,,,,,,,
2012,3330,החברה להקמת השוק,0,4062,,,,,,,
2012,3331,מדען ראשי,2215,8245,,,,,,,
2012,3334,תוכניות רב שנתיות,65658,120148,,,,,,,
2012,3335,רזרבה להתייקרויות,18852,0,,,,,,,
2012,3399,חשבון מעבר,0,374,,,,,,,
,,,,,,,,,,,
2012,3401,תחום פעולה כללי,45084,55903,2013,"""003430""",מטה המשרד,125292,,,
2012,3402,מטה משרד התשתיות,1580,0,2013,"""003431""",מינהל האדמה והים,82606,,,
2012,3404,מחשוב המשרד,1599,2266,2013,"""003432""",רזרבות,8106,,,
2012,3406,מינהל המחקר למדעי,71926,78615,2013,"""003499""",חשבון מעבר,0,,,
2012,3411,מחקר ופיתוח באנרגיה,6250,27882,,,,,,,
2012,3412,יעול השימוש באנרגיה,1324,110495,,,,,,,
2012,3413,פעולות מידע,4726,25097,,,,,,,
2012,3414,פעולות פיקוח במשק הדלק,3679,3616,,,,,,,
,,,,,,,,,,,
